2022-05-19 18:07:19.157  INFO [authorizationService,,] 16604 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : Starting AuthorizationMicroserviceApplication using Java 1.8.0_291 on LTIN302120 with PID 16604 (C:\Users\893882\Downloads\PensionManagementSystem-masterf\authorization-microservice\target\classes started by 893882 in C:\Users\893882\Downloads\PensionManagementSystem-masterf\authorization-microservice)
2022-05-19 18:07:19.184  INFO [authorizationService,,] 16604 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-05-19 18:07:19.291  INFO [authorizationService,,] 16604 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-19 18:07:19.291  INFO [authorizationService,,] 16604 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-19 18:07:21.652  INFO [authorizationService,,] 16604 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-19 18:07:21.798  INFO [authorizationService,,] 16604 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 132 ms. Found 1 JPA repository interfaces.
2022-05-19 18:07:22.582  INFO [authorizationService,,] 16604 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=528b1acf-83df-34cd-88dd-6d1010a2cef8
2022-05-19 18:07:24.709  INFO [authorizationService,,] 16604 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9090 (http)
2022-05-19 18:07:24.723  INFO [authorizationService,,] 16604 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-19 18:07:24.723  INFO [authorizationService,,] 16604 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-05-19 18:07:24.874  INFO [authorizationService,,] 16604 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-05-19 18:07:24.874  INFO [authorizationService,,] 16604 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 5582 ms
2022-05-19 18:07:24.974  INFO [authorizationService,,] 16604 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-05-19 18:07:25.211  INFO [authorizationService,,] 16604 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-05-19 18:07:25.218  INFO [authorizationService,,] 16604 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
2022-05-19 18:07:25.541  INFO [authorizationService,,] 16604 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-05-19 18:07:25.621  INFO [authorizationService,,] 16604 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-05-19 18:07:25.851  INFO [authorizationService,,] 16604 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-05-19 18:07:26.028  INFO [authorizationService,,] 16604 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-05-19 18:07:26.763  INFO [authorizationService,,] 16604 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-05-19 18:07:26.778  INFO [authorizationService,,] 16604 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-05-19 18:07:27.954  INFO [authorizationService,,] 16604 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2022-05-19 18:07:28.195  WARN [authorizationService,,] 16604 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-05-19 18:07:29.337  INFO [authorizationService,,] 16604 --- [restartedMain] o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@78d921, org.springframework.security.web.context.SecurityContextPersistenceFilter@f2f4e9, org.springframework.security.web.header.HeaderWriterFilter@12f3db9, org.springframework.security.web.authentication.logout.LogoutFilter@159f507, com.cognizant.filter.JwtFilter@a2b6c9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@129dd3e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@c60064, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1889b5c, org.springframework.security.web.session.SessionManagementFilter@145010e, org.springframework.security.web.access.ExceptionTranslationFilter@183f1f4, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1a4ae5]
2022-05-19 18:07:30.782  INFO [authorizationService,,] 16604 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9090 (http) with context path ''
2022-05-19 18:07:31.015  INFO [authorizationService,,] 16604 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-05-19 18:07:31.066  INFO [authorizationService,,] 16604 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-05-19 18:07:31.084  INFO [authorizationService,,] 16604 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
