2022-05-19 18:08:47.551  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] nsionDisbursementMicroserviceApplication : Starting PensionDisbursementMicroserviceApplication using Java 1.8.0_291 on LTIN302120 with PID 14216 (C:\Users\893882\Downloads\PensionManagementSystem-masterf\pension-disbursement-microservice\target\classes started by 893882 in C:\Users\893882\Downloads\PensionManagementSystem-masterf\pension-disbursement-microservice)
2022-05-19 18:08:47.572  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] nsionDisbursementMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-05-19 18:08:47.677  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-19 18:08:47.678  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-19 18:08:50.212  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-19 18:08:50.255  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 22 ms. Found 0 JPA repository interfaces.
2022-05-19 18:08:50.975  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=5c3759df-218f-38ad-b0df-eaad1930406b
2022-05-19 18:08:53.095  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9083 (http)
2022-05-19 18:08:53.107  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-19 18:08:53.108  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-05-19 18:08:53.376  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-05-19 18:08:53.378  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 5698 ms
2022-05-19 18:08:53.545  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-05-19 18:08:54.026  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-05-19 18:08:54.035  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:a62b93a0-dfe2-4b1a-86e9-ac9402cadaf2'
2022-05-19 18:08:55.005  WARN [PensionDisburesmentService,,] 14216 --- [restartedMain] o.s.c.s.a.z.ZipkinAutoConfiguration      : Check result of the [RestTemplateSender{http://localhost:9411/api/v2/spans}] contains an error [CheckResult{ok=false, error=org.springframework.web.client.ResourceAccessException: I/O error on POST request for "http://localhost:9411/api/v2/spans": connect timed out; nested exception is java.net.SocketTimeoutException: connect timed out}]
2022-05-19 18:08:55.585  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-05-19 18:08:55.712  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-05-19 18:08:56.005  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-05-19 18:08:56.328  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-05-19 18:08:56.878  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-05-19 18:08:56.896  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-05-19 18:08:57.007  WARN [PensionDisburesmentService,,] 14216 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-05-19 18:08:57.389  WARN [PensionDisburesmentService,,] 14216 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-05-19 18:09:00.482  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9083 (http) with context path ''
2022-05-19 18:09:00.709  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-05-19 18:09:00.748  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-05-19 18:09:00.761  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-05-19 18:09:01.031  INFO [PensionDisburesmentService,,] 14216 --- [restartedMain] nsionDisbursementMicroserviceApplication : Started PensionDisbursementMicroserviceApplication in 14.885 seconds (JVM running for 15.97)
2022-05-19 18:13:40.810  INFO [PensionDisburesmentService,,] 14216 --- [http-nio-9083-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-19 18:13:40.811  INFO [PensionDisburesmentService,,] 14216 --- [http-nio-9083-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-05-19 18:13:40.814  INFO [PensionDisburesmentService,,] 14216 --- [http-nio-9083-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 3 ms
2022-05-19 18:13:41.105  INFO [PensionDisburesmentService,e42eec77d3afaf7c,bb4332ec1f83e043] 14216 --- [http-nio-9083-exec-1] c.c.c.PensionerDisbrusmentConroller      : STARTED - getPensionDisbursement
2022-05-19 18:13:41.158  INFO [PensionDisburesmentService,e42eec77d3afaf7c,bb4332ec1f83e043] 14216 --- [http-nio-9083-exec-1] c.c.service.PensionDisbrusmentService    : STARTED - statusCode
2022-05-19 18:13:41.159  INFO [PensionDisburesmentService,e42eec77d3afaf7c,bb4332ec1f83e043] 14216 --- [http-nio-9083-exec-1] c.c.service.PensionDisbrusmentService    : STARTED - inputBankCharge
2022-05-19 18:13:41.159  INFO [PensionDisburesmentService,e42eec77d3afaf7c,bb4332ec1f83e043] 14216 --- [http-nio-9083-exec-1] c.c.service.PensionDisbrusmentService    : END - inputBankCharge - private - true
2022-05-19 18:13:41.159  INFO [PensionDisburesmentService,e42eec77d3afaf7c,bb4332ec1f83e043] 14216 --- [http-nio-9083-exec-1] c.c.service.PensionDisbrusmentService    : STARTED - calculatePension
2022-05-19 18:13:41.160  INFO [PensionDisburesmentService,e42eec77d3afaf7c,bb4332ec1f83e043] 14216 --- [http-nio-9083-exec-1] c.c.service.PensionDisbrusmentService    : END - calculatePension
2022-05-19 18:13:41.160  INFO [PensionDisburesmentService,e42eec77d3afaf7c,bb4332ec1f83e043] 14216 --- [http-nio-9083-exec-1] c.c.service.PensionDisbrusmentService    : END - statusCode - sucess
2022-05-19 18:13:41.160  INFO [PensionDisburesmentService,e42eec77d3afaf7c,bb4332ec1f83e043] 14216 --- [http-nio-9083-exec-1] c.c.c.PensionerDisbrusmentConroller      : END - getPensionDisbursement
