2022-05-19 18:09:54.765  INFO [PensionerDetailService,,] 23692 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Starting PensionerDetailMicroserviceApplication using Java 1.8.0_291 on LTIN302120 with PID 23692 (C:\Users\893882\Downloads\PensionManagementSystem-masterf\pensioner-detail-microservice\target\classes started by 893882 in C:\Users\893882\Downloads\PensionManagementSystem-masterf\pensioner-detail-microservice)
2022-05-19 18:09:54.790  INFO [PensionerDetailService,,] 23692 --- [restartedMain] c.PensionerDetailMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-05-19 18:09:54.894  INFO [PensionerDetailService,,] 23692 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-19 18:09:54.894  INFO [PensionerDetailService,,] 23692 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-19 18:09:57.082  INFO [PensionerDetailService,,] 23692 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-19 18:09:57.182  INFO [PensionerDetailService,,] 23692 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 86 ms. Found 1 JPA repository interfaces.
2022-05-19 18:09:57.936  INFO [PensionerDetailService,,] 23692 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=85095809-9643-344a-ba36-0073e376c2c7
2022-05-19 18:09:59.988  INFO [PensionerDetailService,,] 23692 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9081 (http)
2022-05-19 18:09:59.999  INFO [PensionerDetailService,,] 23692 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-19 18:09:59.999  INFO [PensionerDetailService,,] 23692 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-05-19 18:10:00.151  INFO [PensionerDetailService,,] 23692 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-05-19 18:10:00.151  INFO [PensionerDetailService,,] 23692 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 5254 ms
2022-05-19 18:10:00.229  INFO [PensionerDetailService,,] 23692 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
