2022-05-19 18:10:33.904  INFO [ProcessPensionService,,] 4952 --- [restartedMain] .c.ProcessPensionMicroserviceApplication : Starting ProcessPensionMicroserviceApplication using Java 1.8.0_291 on LTIN302120 with PID 4952 (C:\Users\893882\Downloads\PensionManagementSystem-masterf\process-pension-microservice\target\classes started by 893882 in C:\Users\893882\Downloads\PensionManagementSystem-masterf\process-pension-microservice)
2022-05-19 18:10:33.942  INFO [ProcessPensionService,,] 4952 --- [restartedMain] .c.ProcessPensionMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-05-19 18:10:34.075  INFO [ProcessPensionService,,] 4952 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-19 18:10:34.075  INFO [ProcessPensionService,,] 4952 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-19 18:10:36.337  INFO [ProcessPensionService,,] 4952 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-19 18:10:36.456  INFO [ProcessPensionService,,] 4952 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 95 ms. Found 1 JPA repository interfaces.
2022-05-19 18:10:37.237  INFO [ProcessPensionService,,] 4952 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=aedbabc9-619a-3221-8f27-00d06022321f
2022-05-19 18:10:39.002  INFO [ProcessPensionService,,] 4952 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9084 (http)
2022-05-19 18:10:39.019  INFO [ProcessPensionService,,] 4952 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-19 18:10:39.019  INFO [ProcessPensionService,,] 4952 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-05-19 18:10:39.204  INFO [ProcessPensionService,,] 4952 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-05-19 18:10:39.205  INFO [ProcessPensionService,,] 4952 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 5129 ms
2022-05-19 18:10:39.286  INFO [ProcessPensionService,,] 4952 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-05-19 18:10:39.644  INFO [ProcessPensionService,,] 4952 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-05-19 18:10:39.651  INFO [ProcessPensionService,,] 4952 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
2022-05-19 18:10:40.287  INFO [ProcessPensionService,,] 4952 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-05-19 18:10:40.350  INFO [ProcessPensionService,,] 4952 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-05-19 18:10:40.560  INFO [ProcessPensionService,,] 4952 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-05-19 18:10:40.739  INFO [ProcessPensionService,,] 4952 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-05-19 18:10:41.588  INFO [ProcessPensionService,,] 4952 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-05-19 18:10:41.598  INFO [ProcessPensionService,,] 4952 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-05-19 18:10:41.656  WARN [ProcessPensionService,,] 4952 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-05-19 18:10:41.889  WARN [ProcessPensionService,,] 4952 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-05-19 18:10:44.482  INFO [ProcessPensionService,,] 4952 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9084 (http) with context path ''
2022-05-19 18:10:44.709  INFO [ProcessPensionService,,] 4952 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-05-19 18:10:44.738  INFO [ProcessPensionService,,] 4952 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-05-19 18:10:44.749  INFO [ProcessPensionService,,] 4952 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-05-19 18:10:44.940  INFO [ProcessPensionService,,] 4952 --- [restartedMain] .c.ProcessPensionMicroserviceApplication : Started ProcessPensionMicroserviceApplication in 12.367 seconds (JVM running for 13.503)
2022-05-19 18:11:18.872  INFO [ProcessPensionService,,] 4952 --- [http-nio-9084-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-19 18:11:18.872  INFO [ProcessPensionService,,] 4952 --- [http-nio-9084-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-05-19 18:11:18.875  INFO [ProcessPensionService,,] 4952 --- [http-nio-9084-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 3 ms
2022-05-19 18:11:18.926  INFO [ProcessPensionService,509c9eadce1d505c,1f49cd8b63081c4f] 4952 --- [http-nio-9084-exec-1] c.c.controller.ProcessPensionController  : STARTED - allDetail
2022-05-19 18:11:19.575  INFO [ProcessPensionService,509c9eadce1d505c,1f49cd8b63081c4f] 4952 --- [http-nio-9084-exec-1] c.c.controller.ProcessPensionController  : END - allDetail
2022-05-19 18:11:26.308  INFO [ProcessPensionService,f09fa635f415fff7,cc136e12ad9e21d5] 4952 --- [http-nio-9084-exec-3] c.c.controller.ProcessPensionController  : STARTED - allDetail
2022-05-19 18:11:26.334  INFO [ProcessPensionService,f09fa635f415fff7,cc136e12ad9e21d5] 4952 --- [http-nio-9084-exec-3] c.c.controller.ProcessPensionController  : END - allDetail
2022-05-19 18:12:22.557  INFO [ProcessPensionService,217286ab6b4c0d4e,b7f94ddfd09a387f] 4952 --- [http-nio-9084-exec-2] c.c.controller.ProcessPensionController  : STARTED - allDetail
2022-05-19 18:12:22.713  INFO [ProcessPensionService,217286ab6b4c0d4e,b7f94ddfd09a387f] 4952 --- [http-nio-9084-exec-2] c.c.service.ProcessPensionService        : STARTED - getPensionDetail
2022-05-19 18:12:22.714  INFO [ProcessPensionService,217286ab6b4c0d4e,b7f94ddfd09a387f] 4952 --- [http-nio-9084-exec-2] c.c.service.ProcessPensionService        : END - getPensionDetail
2022-05-19 18:12:22.715  INFO [ProcessPensionService,217286ab6b4c0d4e,b7f94ddfd09a387f] 4952 --- [http-nio-9084-exec-2] c.c.controller.ProcessPensionController  : END - allDetail
2022-05-19 18:12:22.715  INFO [ProcessPensionService,217286ab6b4c0d4e,b7f94ddfd09a387f] 4952 --- [http-nio-9084-exec-2] c.c.service.ProcessPensionService        : STARTED - savePensionDetail
2022-05-19 18:12:22.715  INFO [ProcessPensionService,217286ab6b4c0d4e,b7f94ddfd09a387f] 4952 --- [http-nio-9084-exec-2] c.c.service.ProcessPensionService        : END - savePensionDetail
